Objective Value: -0.291915
Variable Values:
O16AUNDtpp: 0
O16AP1pp: 0
GPDDA3pp: 0
GPDDA4pp: 3.97904e-13
GPDDA2pp: 0
FACOAL120t2pp: 0
GLYCAt2rpp: -1.13687e-13
GLYCAtex: -1.13687e-13
FACOAL140t2pp: 0
EX_enlipa_e: 0
BUTtex: 0
EX_hacolipa_e: 0
AGM4PCP: 0
4PCP: 0
FE3HOXtonex: 0
CU2abcpp: 0
COBALT2abcpp: 0
NI2abcpp: 0
MG2uabcpp: 0
4PCPpp: 0
HCYSMT2: 0
FALDH2: 0
CHLtex: 0
GLYBabcpp: 0
GLYC3Pt6pp: -1.56124e-12
MMETtex: 0
FE3tex: -1000
MG2tex: 0
Zn2tex: 0
MMETt2pp: 0
CD2tex: 0
GLYCLTt4pp: 0
GLYCtpp: -3.41061e-13
H2Otpp: -1.75149
GLNabcpp: 0
CO2tex: -1.75149
GLUabcpp: 0
GLUABUTt7pp: 0
GLUt2rpp: 0
HCINNMt2rpp: 0
HISabcpp: 0
HISt2rpp: 0
CBIAT: 0
GLUt4pp: 0
GLYALDtpp: 0
CRNtex: 0
EX_etha_e: 0
ACGK: 0
LYSabcpp: 0
COBALT2tex: 0
LCTSt3ipp: 0
PPK2: 0
ARBt3ipp: 0
14GLUCANabcpp: 0
14GLUCANtexi: 0
DINStex: 0
DHPTPE: 0
PPDOy: 0
FALGTHLs: 0
NTD12pp: 0
PPA2: 0
DIMPtex: 0
EX_hdca_e: 0
EX_glcr_e: 0
GNK: 0
HMBS: 0
3NTD7pp: 0
DMStex: 0
3NTD4pp: 0
3NTD2pp: 0
3NTD9pp: 0
RMK: 0
FHL: 0
HYPOE: 0
MEPCT: 0
GLUDy: -6.82121e-13
23PDE7pp: 0
GALTptspp: 0
GALURt2rpp: 0
ZN2abcpp: 0
CSNtex: 0
GLYCLTDy: 0
LYSDC: 0
DAAD: 0
GLCNt2rpp: 0
GLCptspp: 0.291915
GLCRt2rpp: 0
GLCt2pp: 0
UREAtpp: 0
XANt2pp: 0
GLYC3Pabcpp: 0
PPPNt2rpp: 0
PTRCORNt7pp: 0
GLCURt2rpp: 0
ACMUMptspp: 0
EX_h2o_e: 501.751
EX_ala_D_e: 0
HSTPT: 0
SPMDabcpp: 0
CYNTtex: 0
HG2tex: 0
NTPP5: 0
THDPS: 0
ACONMT: 0
XTSNtex: 0
ATPM: 6.86
CYStex: 0
NADPPPS: 0
EX_mnl_e: 0
THRD_L: 0
EX_malt_e: 0
NTD3: 0
CYTDtex: 0
GLYOX: 0
DADNtex: 0
4PEPTtex: 0
NAMNPP: 0
EX_pnto_R_e: 0
SELNPS: 0
DHAtex: 0
ETOHtex: 7.27596e-12
MTRPOX: 0
AGM4PCPpp: 0
GTPDPDP: 0
CRNCAR: 0
GALabcpp: 0
GLYCLTt2rpp: 0
GUAt2pp: 0
HPPPNt2rpp: 0
RNDR2: 0
EX_asn_L_e: 0
ANHMK: 0
DCAtex: 0
DHFR: 0
EX_cit_e: 0
PRAIi: 0
EX_mal_L_e: 0
NMNN: 0
XAND: -6.84698e-13
EX_no2_e: 0
HACD3: 3.41061e-13
TYRTA: 0
SHKK: 0
DCYTtex: 0
EX_gam_e: 0
ACACtex: 0
ACNAMtex: 0
ARBTNabcpp: 0
EX_inost_e: 0
EX_mobd_e: 0
NNDMBRT: 0
DGSNtex: 0
THRA2: 0
ASO3t8pp: 0
H2Stex: 0
PPK: 0
EX_so4_e: 0
SADH: 0
GLUSy: 0
GUAPRT: 0
EX_phe_L_e: 0
EX_thr_L_e: 0
EX_uri_e: 0
OMCDC: 0
ABUTD: 0
E4PD: 0
IG3PS: 0
PDH: 0.58383
MTHFR2: 0
DMSOR2pp: 0
H2St1pp: 0
EX_nh4_e: -3.18323e-12
DADK: 0
DUTPDP: 0
EX_ddca_e: 0
HYD3pp: 0
NO3R1pp: 0
NTP5: 0
CELBpts: 0
FORt2pp: 0
EX_r5p_e: 0
EX_glyc2p_e: 0
MTAN: 0
DPR: 0
EX_halipa_e: 0
AACPS5: 3.31646e-13
MANptspp: 0
EX_cmp_e: 0
NTD8: 0
GALCTD: 0
EX_malthx_e: 0
MLTG4: 0
UDPGDC: 0
PUNP4: 0
AMAOTr: 0
EX_csn_e: 0
EX_etoh_e: 0
G6PP: 0
MMCD: 0
GLNS: 0
TYMtex: 0
GTHS: 0
EX_g3pe_e: 0
EX_pacald_e: 0
EX_his_L_e: 0
EX_k_e: 0
EX_na1_e: 0
ACACT1r: 3.41061e-13
ARGORNt7pp: 0
EX_dmso_e: 0
CMPtex: 0
DUMPtex: 0
XMPtex: 0
3PEPTtex: 0
EX_12ppd_S_e: 0
EX_pppn_e: 0
ANHGMtex: 0
MALTptspp: 0
UDPKAAT: 0
ULA4NFT: 0
EX_acgam1p_e: 0
NTD11pp: 0
EX_galt_e: 0
DKGLCNR2x: 0
ACGS: 0
PDE1: 0
UPLA4FNT: 0
UPLA4FNF: 0
ULA4Ntppi: 0
HEPT1: 0
FALDtex: 0
MCITD: 0
CU2tex: 0
EX_glcur1p_e: 0
GLCATr: 0
ALR2: 0
AMALT2: 0
MLTP1: 0
HEPT2: 0
FECRMUtex: 0
ALAALAr: 0
EX_thrp_e: 0
CLtex: 0
CYSDtex: 0
CYSDabcpp: 0
HXAND: 0
EX_fald_e: 0
EX_pydxn_e: 0
EX_acgal_e: 0
EX_so2_e: 0
EX_dms_e: 0
GMPtex: 0
IMPtex: 0
G3PItex: 0
CD2abcpp: 0
G3PGtex: 0
G3PEtex: 0
G3PCtex: 0
MOAT3C: 0
UMPtex: 0
G1Ptex: 0
ADNK1: 0
CUt3: 0
ZN2t3pp: 0
SKMtex: 0
MNt2pp: 0
RHAT1: 0
GLCabcpp: 0
GALT1: 0
MNtex: 0
GAL1Ptex: 0
GLCTR2: 0
G2PPpp: 0
UDPGPpp: 0
EX_acgal1p_e: 0
EX_cyan_e: 0
EX_tyrp_e: 0
O2Stex: 0
HEPK1: 0
HEPT3: 0
HEPK2: 0
ALDD3y: 0
EX_uacgam_e: 0
Kt3pp: 0
EX_udpacgal_e: 0
EX_udpg_e: 0
EX_udpgal_e: 0
EX_udpglcur_e: 0
EX_14glucan_e: 0
EX_pser_L_e: 0
R5PP: 0
EX_xmp_e: 0
EX_damp_e: 0
CYSSADS: 0
EX_dimp_e: 0
CPPPGO2: 0
EX_isetac_e: 0
AGM3PH: 0
HOMt2pp: 0
EX_aso3_e: 0
EX_tcynt_e: 0
EX_fe3dhbzs_e: 0
AGM3PApp: 0
PPPGO: 0
EX_feoxam_un_e: 0
HOMtex: 0
SO2tex: 0
SO2tpp: 0
LDH_D2: 0
EX_g3pc_e: 0
EX_g3pg_e: 0
EX_g3pi_e: 0
SHCHF: 0
SUCOAS: -1000
SUCBZL: 0
CYSDDS: 0
CYStpp: 0
EX_g3ps_e: 0
EX_peamn_e: 0
EX_34dhpac_e: 0
NTP1: 0
DAMPtex: 0
DCMPtex: 0
DGMPtex: 0
DTMPtex: 0
ACSERtpp: 0
ACSERtex: 0
LALDO3: 0
NTP10: 0
PRAIS: 0
GDMANE: 0
GPDDA4: -3.28897e-13
LPLIPAL2ATG120: 0
PLIPA1E140pp: 0
LPLIPAL2E140: 0
PLIPA1E160pp: 0
GALKr: 0
PLIPA1E161pp: 0
AACPS8: 0
AACPS9: 0
LPLIPAL2E180: 0
LPLIPAL2G161: 0
LPLIPAL2G181: 0
2AGPE120tipp: 0
HXCT: -6.10993e-14
AACPS6: 0
2AGPEAT160: 3.15298e-16
AACPS7: 0
PANTS: 0
G3PGabcpp: 0
G3PIabcpp: 0
DURADx: 0
ECOAH7: -2.50111e-12
G1PPpp: 0
GALCTND: 0
GCALDD: 0
HISTP: 0
G3PSabcpp: 0
QMO2: 1.92646e-14
QMO3: 0
LPLIPAL2E141: -1.53297e-12
LPLIPAL2E161: 0
LDH_D: 0
AMALT4: 0
NTD11: 0
LPLIPAL2E181: 0
YUMPS: 0
LPLIPAL2G180: -6.09188e-14
LPLIPAL2G141: 0
2AGPA120tipp: 0
2AGPG180tipp: -6.09188e-14
IPDDI: 0
ORNDC: 0
UPP3MT: 0
KAS15: 0
ALAALAtex: 0
FACOAL181t2pp: 0
T2DECAI: 0
2AGPGAT180: 0
2AGPGAT181: -3.63668e-15
3OAS161: 3.06593e-12
DHQS: 0
EAR141y: 0
EAR161x: 0
2AGPG141tipp: 0
2AGPG161tipp: 0
2AGPG181tipp: 0
2AGPEAT140: 0
2AGPEAT120: 0
DASYN160: -3.15298e-16
DASYN161: 0
DASYN181: -3.63668e-15
CDAPPA161: 0
2AGPEAT161: 0
2AGPEAT141: 1.53297e-12
2AGPGAT160: 0
PGSA180: 0
PGCD: 0
PSSA140: 1.53478e-12
2AGPGAT141: 0
FACOAE180: 0
LPLIPAL2ATG140: 0
LPLIPAL2ATG141: 0
LPLIPAL2ATG160: 0
LPLIPAL2ATG180: 0
LPLIPAL2ATG161: 0
LPLIPAL2ATG181: 3.63668e-15
FACOAE100: 0
FACOAE80: 0
FACOAE60: 0
CLPNS180pp: 0
PLIPA1E120pp: 0
CLPNS181pp: -1.13687e-13
EX_cys_L_e: 0
PG161abcpp: 0
PGP120abcpp: 0
MALtex: 0
NO3tex: 0
3OAS141: 0
3OAR121: 0
CFAS160G: 0
PGP161abcpp: 0
PGP181abcpp: -3.63668e-15
PA120abcpp: 0
PLIPA1G120pp: 0
URAt2pp: 0
FACOAE141: 3.06593e-12
CLPNS120pp: 0
ALPATE160pp: 0
FACOAE161: -3.06593e-12
EX_gsn_e: 0
TTDCEAtexi: 0
HDCEAtexi: 0
ALPATG160pp: 0
2AGPGAT120: 0
LPLIPAL2ATE120: 0
ALAALAD: 0
2AGPEAT180: 0
LPLIPAL2ATE140: 0
EX_orot_e: 0
LPLIPAL2ATE160: 0
LPLIPAL2ATE180: 0
LPLIPAL2ATE141: 0
2AGPEAT181: 3.63668e-15
2AGPGAT140: 0
PLIPA1E181pp: 0
PLIPA1G180pp: -6.09188e-14
LPLIPAL2ATE161: 0
LPLIPAL2ATE181: 0
FACOAL141t2pp: 0
FACOAL161t2pp: 0
PA160abcpp: 0
PLIPA1G181pp: 0
ALAALAabcpp: 0
HEXt2rpp: -1.13687e-13
G3PEabcpp: 1.53692e-12
G3PCabcpp: 0
2AGPGAT161: 0
PA181abcpp: 1.6946e-13
12DGR141tipp: 0
AMPTASEPG: 0
ADSL1r: 6.82121e-13
PROGLYabcpp: 0
GTHRDabcpp: 0
PGPP140pp: 0
PGPP141pp: 0
PGPP160pp: 0
2AGPG140tipp: 0
PGPP180pp: 0
2AGPG160tipp: 0
SERD_D: 0
CLPNH141pp: 0
CLPNH160pp: 0
CLPNH161pp: 0
AICART: 0
CLPNH181pp: -1.6946e-13
D_LACt2pp: 0
PLIPA1E180pp: 0
RIBtex: 0
FLVRx: 0
THMtex: 0
XYLUtex: 0
PLIPA1G140pp: 0
PLIPA1G161pp: 0
CLPNS160pp: 0
CLPNS161pp: 0
EX_manglyc_e: 0
ALLtex: 0
PG160abcpp: 0
FRUpts2pp: 0
PGP140abcpp: 0
PAPA120pp: 0
PAPA140pp: 3.78653e-29
GGPTRCO: 0
EX_metsox_R_L_e: 0
PAPA141pp: 0
34dhpactex: 0
PAPA160pp: 3.01441e-14
G6Pt6_2pp: 0
PAPA161pp: 0
MALTHXtexi: 0
12PPDStpp: 0
PAPA180pp: 0
PROtex: 0
HPYRI: -0.58383
FE3HOXUtex: 0
HYD1pp: 0
EX_cl_e: 0
FE3DHBZStonex: 0
AACTOOR: 0
H2tpp: 0
23DAPPAtex: 0
ECAP3pp: 0
FEOXAMtonex: 0
TPRDCOAS: 0
ACGAM1PPpp: 0
EX_dgmp_e: 0
GAMptspp: 0
GSNt2pp: 0
EX_4hoxpacd_e: 0
FMNRx: 0
EX_3hpppn_e: 0
EX_man6p_e: 0
GSNtex: 0
SBTtex: 0
FORtex: 0
EX_tsul_e: 0
PHEt2rpp: 0
DHBS: 0
THIORDXi: 0
EX_n2o_e: 3.13436e-14
PPPGO3: 0
PFK: 0
PDX5POi: 0
PDX5PO2: 0
MDDCP1pp: 0
GUI2: 0
OMBZLM: 0
PLIPA1A181pp: 0
PGM: -0.58383
LPLIPAL2A141: 0
HG2t3pp: 0
CYTBO3_4pp: 3.50298
EX_maltttr_e: 0
GLYCK: 0
MLTG5: 0
GPDDA3: 0
EAR141x: 0
EAR181x: 0
TPI: 0.291915
EAR181y: 0
G3PAT141: -1.53297e-12
2DOXG6PP: 0
OXAMTC: 0
UDCPPtppi: 0
AGMH: 0
G3PAT181: 1.65823e-13
DASYN140: 0
MPTG: 0
DASYN180: 0
MPTG2: 0
DASYN141: -1.53297e-12
RPI: -1.7053e-12
MCTP1App: 0
MCTP2App: 0
CDAPPA160: 0
CDAPPA141: 0
MCTP1Bpp: 0
PERD: 0
MELIBt3ipp: 0
PGSA141: 0
EX_alaala_e: 0
EX_dtmp_e: 0
5DOAN: 0
DM_5drib_c: 0
EX_lipoate_e: 0
EX_pydx_e: 0
EX_g1p_e: 0
GLCtex_copy2: -999.708
NAt3pp: 0
MINOHPtexi: 0
12PPDRtpp: 0
SFGTHi: 1.54834e-28
PYDAMK: 0
DHORDfum: 0
K2L4Aabcpp: 0
FACOAE120: 0
3OAR120: 0
3HAD80: 0
3HAD120: 0
DSBCGT: 0
DSBGGT: 0
EAR180x: 0
AKGtex: 0
SO4t2pp: 0
EAR180y: 6.09188e-14
AGPAT120: 0
DHNAOT4: 0
AMPMS2: 0
DM_oxam_c: 0
ALR4x: 0
PGPP120: 0
DAGK120: 0
ALLTNtex: 0
PSSA180: 0
ASNtex: 0
PSSA161: 0
PSSA141: -1.53297e-12
PSD160: -3.15298e-16
PSD161: 0
PSD180: 0
COLIPAabcpp: 0
LPLIPAL1G141pp: 0
LPLIPAL1G180pp: 0
LPLIPAL1G181pp: 1.65823e-13
ACONIs: 0
ACONTb: 0.58383
GLCP2: 0
F6Pt6_2pp: 0
PPALtpp: 0
PLIPA2A140pp: -1.53478e-12
PLIPA2A141pp: 2.76537e-28
PLIPA2A180pp: 3.06081e-14
GAM6Pt6_2pp: 0
PLIPA2E141pp: 0
FE3HOXabcpp: 0
PLIPA2E181pp: 0
PLIPA2G140pp: 0
PPALtex: 0
CA2tex: 0
CUtex: 0
3HAD161: 3.06593e-12
PLIPA2G160pp: 0
CU1Opp: 0
PLIPA2G181pp: 1.65823e-13
SUCDi: 3.50298
FADRx2: 0
LPLIPAL1E141pp: 0
LALDO2x: 0
12PPDRtex: 0
LPLIPAL1E160pp: 2.13364e-15
LPLIPAL1E180pp: 0
ASNS1: 0
EAR80y: 0
EAR120y: 0
3OAR181: 0
3HAD121: 0
EAR121y: 0
LPLIPAL1E181pp: 0
LPLIPAL1G160pp: 0
LPLIPAL1G161pp: 0
GTHRDHpp: 0
EX_o2_e: -251.751
PROGLYtex: 0
EX_progly_e: 0
MDDCP2pp: 0
LPLIPAL1G120pp: 0
PLIPA2E140pp: 1.53478e-12
PLIPA2E160pp: 0
PLIPA2A161pp: 0
PLIPA2A181pp: 0
F6Ptex: 0
MDDCP3pp: 0
EAR140x: 0
EAR40y: 0
GAMAN6Ptex: 0
EX_gal_bD_e: 0
3OAS181: 0
EAR161y: 3.06593e-12
G3PAT140: 0
G3PAT160: -3.04594e-14
G3PAT161: 0
AGPAT160: -3.04594e-14
AGPAT140: 0
PGSA160: 0
MLDCP2Bpp: 0
3OAS140: 0
3OAR140: 0
CDAPPA140: -1.53478e-12
MLDCP1App: 0
EAR160y: 0
3OAR160: 0
PDE4: 0
PGSA161: 0
3HAD181: 0
PGPP160: 0
EAR100y: 0
3OAR141: 0
3OAR161: 3.06593e-12
3HAD141: 0
EAR121x: 0
PGPP180: 0
PGPP161: 0
PGPP181: 3.63668e-15
PSD140: 1.53478e-12
MICITDr: 0
CDAPPA180: 0
AGM4PH: 0
NTP12: 0
PE141abcpp: 0
CDAPPA181: 0
PGSA140: 0
LPLIPAL1A141pp: 0
LPLIPAL1A180pp: 3.06081e-14
LPLIPAL1E140pp: 1.53478e-12
LPLIPAL1E161pp: 0
LPLIPAL1G140pp: 0
PE160abcpp: 0
PE161abcpp: 0
PSD141: -1.53297e-12
PG140abcpp: 0
PG141abcpp: 0
ACONTa: 0.58383
MLDCP2App: 0
12DGR140tipp: 0
PG180abcpp: 0
12DGR160tipp: 3.01441e-14
PG181abcpp: 0
AM4PA: 0
PGP141abcpp: 0
PGP160abcpp: 0
12DGR180tipp: 0
PGPP120pp: 0
PGPP181pp: -3.63668e-15
CLPNH120pp: 0
PGP180abcpp: 0
EX_dump_e: 0
PAPA181pp: 0
PA140abcpp: -1.81289e-12
CLPNH140pp: 0
EX_12ppd_R_e: 0
PGSA181: 0
PGPP140: 0
PGPP141: 0
MDDCP5pp: 0
MLTGY3pp: 0
12DGR120tipp: 0
MDDCP4pp: 0
CLPNS140pp: 0
CLPNS141pp: 0
G3PAT180: 0
EX_o2s_e: 0
PLIPA1G160pp: 0
PG120abcpp: 0
EX_gal1p_e: 0
PE140abcpp: 1.53478e-12
CFAS160E: 0
PLIPA1G141pp: 0
LPLIPAL2E160: -3.15298e-16
LPLIPAL2G140: 0
LPLIPAL2G160: 0
CFAS180E: 0
EX_dcmp_e: 0
CFAS180G: 0
PAPA160: 0
2AGPE140tipp: 0
2AGPE160tipp: 0
2AGPE180tipp: 0
PAPA180: 0
PAPA181: 0
2AGPE141tipp: 0
2AGPE161tipp: 0
EX_23ccmp_e: 0
2AGPA161tipp: 0
2AGPA181tipp: 0
2AGPG120tipp: 0
LPLIPAL2G120: 0
PA141abcpp: 0
PETNT161pp: 0
PSSA160: -3.15298e-16
PSSA181: -3.63668e-15
DAGK140: 3.78653e-29
DAGK160: 3.01441e-14
DAGK141: 0
DAGK161: 0
AGPAT181: 1.65823e-13
PA161abcpp: 0
PA180abcpp: 0
PGPP161pp: 0
PE120abcpp: 0
MDDEP3pp: 0
MDDEP4pp: 0
PE180abcpp: 0
PAPA140: 0
MLTGY1pp: 0
EX_3cmp_e: 0
CGLYtex: 0
3HAD40: 0
PLIPA1E141pp: 0
3OAS60: 0
3OAS160: 0
PAPA141: 0
PAPA161: 0
GTHOXtex: 0
DSBAO1: 0
DSBAO2: 0
DSBDR: 0
TDSR1: 0
CGLYabcpp: 0
PLIPA2A120pp: 0
PLIPA2A160pp: -1.66529e-13
CLPNH180pp: 3.06081e-14
3OAR60: 0
3OAR80: 0
MLDCP3App: 0
MLDCP1Bpp: 0
2AGPE181tipp: 0
2AGPA140tipp: 0
LPLIPAL2E120: 0
EAR100x: 0
EAR120x: 0
EAR160x: 0
2AGPA160tipp: 0
ATHRDHr: -7.50333e-12
2AGPA180tipp: 0
2AGPA141tipp: 0
EAR140y: 0
3OAS121: 0
3OAS80: 0
3OAS100: 0
3OAS120: 0
LSERDHr: 0
3OAR40: 0
3OAR100: 0
DSERDHr: 0
3HAD60: 0
3HAD100: 0
3HAD140: 0
3HAD160: 0
EX_urate_e: 0
PSD120: 0
AGPAT180: 0
AGPAT141: -1.53297e-12
PAPA120: 0
EX_skm_e: 0
EX_cpgn_un_e: 0
MDDEP1pp: 0
MDDEP2pp: 0
AGPAT161: 0
DASYN120: 0
EAR40x: 0
EAR60y: 0
MLDEP1pp: 0
PSD181: -3.63668e-15
DAGK180: 0
DAGK181: 0
MLDEP2pp: 0
EX_ag_e: 0
MLTGY2pp: 0
PLIPA2E120pp: 0
PLIPA2G141pp: 0
MLTGY4pp: 0
EAR60x: 0
PLIPA2G161pp: 0
EX_cys_D_e: 0
LPLIPAL1A120pp: 0
LPLIPAL1A140pp: -1.53478e-12
EAR80x: 0
PE181abcpp: 0
12DGR161tipp: 0
12DGR181tipp: 0
NTP11: 0
LPLIPAL1A181pp: 0
LPLIPAL1E120pp: 0
3OAR180: 1.13687e-13
G3PAT120: 0
PGSA120: 0
3OAS180: 6.09188e-14
3HAD180: 6.09188e-14
CDAPPA120: 0
TDSR2: 0
EX_acser_e: 0
GTHRDtex: 0
GTHRDabc2pp: 0
OMMBLHX3: 0
PSSA120: 0
UM4PL: 0
2MAHMP: 0
EX_cu_e: 0
ZN2tpp: 0
NI2tpp: 0
EX_arbtn_e: 0
COBALT2t3pp: 0
23DAPPAt2pp: 0
NADHPO: 0
ACOAD7f: -4.54747e-13
ACOAD8f: 0
PLIPA1A120pp: 0
ACOAD5f: -5.68434e-13
PLIPA1A140pp: 0
EX_dopa_e: 0
PLIPA1A141pp: 0
PLIPA1A160pp: 0
PLIPA1A161pp: 0
PLIPA1A180pp: 0
LPLIPAL2A120: 0
CAt6pp: -1000
ACOAD3f: -3.41061e-13
ACOAD2f: -4.54747e-13
ACOAD4f: -5.68434e-13
ACOAD6f: 2.50111e-12
NADH16pp: 0
NADH18pp: 2.91915
EX_tartr_D_e: 0
GLYBt2pp: 0
5DGLCNt2rpp: 0
GALCTNt2pp: 0
GALCTNLtex: 0
EX_galctn_L_e: 0
DSERt2pp: 0
EX_hom_L_e: 0
ALAt4pp: 0
LYSt3pp: 0
KDUI: 0
EX_tungs_e: 0
CA2t3pp: 1000
CTBTCAL2: 0
OBTFL: 0
NADH17pp: 0
FA161ACPHi: 0
BGLA1: 0
FA141ACPHi: 0
THRt2pp: 0
ARGt3pp: 0
FA160ACPHi: 0
MALDtex: 0
OROTtex: 0
EX_crn_D_e: 0
GDPMNP: 0
OPHHX3: 0
AMMQLT8: 0
FA120ACPHi: 0
FA80ACPHi: 0
FA140ACPHi: 0
PPAt4pp: 0
OROTt2_2pp: 0
MALDt2_2pp: 0
FA100ACPHi: 0
CRNDCAL2: 0
5DGLCNtex: 0
EX_LalaDgluMdapDala_e: 0
EX_5dglcn_e: 0
DTARTD: 0
CRNCAL2: 0
CHLt2pp: 0
GLYt4pp: 0
PLIPA2E161pp: 0
PLIPA2E180pp: 0
FRULYSE: 0
FRULYSt2pp: 0
EX_LalaDgluMdap_e: 0
EX_psclys_e: 0
TUNGStex: 0
PLIPA2G120pp: 0
PLIPA2G180pp: 0
LPLIPAL1A161pp: 0
LPLIPAL1A160pp: -1.66529e-13
PSCLYSt2pp: 0
LYSt2pp: 0
COBALT2tpp: 0
OXCDC: 0
LPLIPAL2A140: 0
LPLIPAL2A160: 1.36385e-13
LPLIPAL2A161: 0
LPLIPAL2A180: 0
GLYt2pp: 0
ALAt2pp: 0
EX_anhgm_e: 0
BALAt2pp: 0
DALAt2pp: 0
FE2tpp: 0
LPLIPAL2A181: 0
DM_aacald_c: 0
UM3PL: 0
MN2tpp: 0
MG2tpp: 0
5MTRtex: 0
NI2t3pp: 0
PPAtex: 0
GALCTNLt2pp: 0
GALCTLO: 0
THYMt3pp: 0
CLt3_2pp: 0
EX_ppal_e: 0
POR5: 0
HACD8: 3.41061e-13
CTECOAI8: -3.41061e-13
CTECOAI6: -3.06954e-12
MTHTHFSs: 0
SELGTHR: 0
SELGTHR3: 0
EX_slnt_e: 0
MALCOAMT: 0
PSCLYStex: 0
THYMtex: 0
CU2tpp: 0
FE2t3pp: 0
MN2t3pp: 0
MG2t3_2pp: 0
CD2tpp: 0
ETHAt2pp: 0
FE3abcpp: 0
THRA: 0
OGMEACPS: 0
OGMEACPR: 0
OPMEACPS: 0
LIPAabctex: 0
DGUNC: 0
XYLK2: 0
GLDBRAN2: 0
LALADGLUtex: 0
S2FE2SR: 0
CDGUNPD: 0
ACACT8r: -3.41061e-13
LALALGLUtpp: 0
CTECOAI7: 3.06954e-12
CLIPAabctex: 0
3AMACHYD: 0
K2L4Aabctex: 0
FDH4pp: 2.52435e-29
FDH5pp: 0
ACPPAT140: 0
APG3PAT140: 0
LDGUNPD: 0
MPTAT: 0
APG3PAT141: 0
MOADSUx: 0
3HPPtex: 0
CMtpp: 0
FUSAtpp: 0
APG3PAT181: 0
APH140: 0
APH160: 0
OPMEACPD: 0
EPMEACPR: 0
RFAMPtex: 0
MINCYCtex: 0
AOXSr2: 0
MINCYCtpp: 0
MEOHtrpp: 0
EX_LalaDglu_e: 0
SCYSDS: 0
DOXRBCNtex: 0
DOXRBCNtpp: 0
S2FE2SS: 0
S4FE4SR: 0
CCGS: 0
SELtex: 0
SELR: 0
OGMEACPD: 0
EGMEACPR: 0
OPMEACPR: 0
PMEACPE: 0
ETOHtrpp: 7.27596e-12
REPHACCOAI: 0
ACPPAT141: 0
ACPPAT161: 0
ACPPAT180: 0
APG3PAT160: 0
APG3PAT161: 0
MEOHtex: 0
EX_5mtr_e: 0
APG3PAT180: 0
ICYSDS: 0
MECDPDH5: 0
CDGR: 0
RNTR1c2: 0
RNTR2c2: 0
I4FE4SR: 0
S2FE2ST: 0
BMOCOS: 0
BWCOS: 0
RNTR3c2: 0
RNTR4c2: 0
BWCOGDS1: 0
BWCOGDS2: 0
FLDR2: 0
CDGS: 0
5MTRtpp: 0
TTRCYCtex: 0
DHNPTE: 0
DHMPTR: 0
NOVBCNtpp: 0
CMtex: 0
TTRCYCtpp: 0
LALALGLUtex: 0
CBMD: 0
LALADGLUtpp: 0
I2FE2SS: 0
I2FE2ST: 0
FESR: 0
OXCOAHDH: 0
DHACOAH: 0
I2FE2SS2: 0
MSAR: 0
I4FE4ST: 0
S4FE4ST: 0
THFAT: 0
FOMETRi: 0
SLNTtex: 0
S2FE2SS2: 0
BTS5: 0
SELGTHR2: 0
EX_LalaLglu_e: 0
GDPTPDP: 0
LIPOS: 0
COLIPAKpp: 0
ACPPAT120: 0
3HPPtpp: 0
MPTSS: 0
CPMPS: 0
LIPOCT: 0
LIPATPT: 0
LIPAMPL: 0
ALDD19xr: 0
MMM: 0
MOGDS: 0
CPH4S: 0
WCOS: 0
RFAMPtpp: 0
SHCHCS3: 0
VPAMTr: -1000
ACOLIPAabctex: 0
PYK4: 0
NADPHXD: 0
NADHHR: 0
ECA4COLIPAabctex: 0
EX_ttrcyc_e: 0
COLIPAPabctex: 0
NADPHXE: 0
ALAtpp: 0
CH4tex: 0
EX_mincyc_e: 0
TARTRDtex: 0
DM_4crsol_c: 0
3OXCOAT: 0
BTNt2ipp: 0
URACPAH: 0
BTNtex: 0
DHBSZ3FEabcpp: 0
FE3DHBZS3R: 0
DXYLONtpp: 0
DXYLTD: 0
2DDARAA: 0
2DGLCptspp: 0
2DGULRGx: 0
2DGULRGy: 0
AP4AS: 0
ARBTptspp: 0
ARBTtex: 0
EX_arbt_e: 0
GNP: -3.58445e-13
ALLTAMH2: -6.84698e-13
UGCIAMH: -6.84698e-13
DMSOtpp: 0
POAACR: 0
PYDXtex: 0
PYDXtpp: 0
SUCASPtpp: 0
METGLCUR: 0
ACOAD1fr: 0
23DOGULNt4pp: 0
FE3DCITexs: 0
SUCMALtpp: 0
PYDXNtex: 0
FEENTERES: 0
PYDXNtpp: 0
FEENTERR4: 0
ACPPAT160: 0
DXYLONtex: 0
PYDAMtex: 0
PYDAMtpp: 0
PSURItex: 0
ALR2x: 0
OMPHHXy: 0
CHLt3pp: 0
13PPDH2: 0
TARTt2_3pp: 0
SUCTARTtpp: 0
APCS: 0
CHTBSptspp: 0
GLYBt3pp: 0
AI2tpp: 0
ACPPAT181: 0
Ftpp: 0
SQVOSI: 0
6D6SPA: 0
CHTBStex: 0
TRPtipp: 0
TYRtipp: 0
ThDPAT: 0
GHBDHx: 0
DHPStr: 0
SQtr: 0
DHPStex: 0
APPLDHr: 0
SPMDt3pp: 0
FMNtex: 0
APH141: 0
EX_dxylnt_e: 0
AI2K: 0
PHEtipp: 0
G2PP: 0
MALt3pp: 0
CITt3pp: 0
APH161: 0
DHNPA2r: 0
QUIN2tpp: 0
GLYC2Pabcpp: 0
CRNDtex: 0
SHGO: 0
CLBtex: 0
ACOXT: 0
EX_mththf_e: 0
2HESR: 0
CHOLID: 0
