"abbreviation"	"equation"	"lowbnd"	"uppbnd"	"obj_coef"
"DMSOR1"	"mql8_c + dmso_c --> h2o_c + dms_c + mqn8_c"	0	1000	0
"PGLYCP"	"2pglyc_c + h2o_c --> glyclt_c + pi_c"	0	1000	0
"2DGULRx"	"h_c + 2dhguln_c + nadh_c --> idon__L_c + nad_c"	0	1000	0
"DKGLCNR2y"	"h_c + 25dkglcn_c + nadph_c --> nadp_c + 5dglcn_c"	0	1000	0
"G1PTT"	"h_c + dttp_c + g1p_c --> ppi_c + dtdpglu_c"	0	1000	0
"TDPGDH"	"dtdpglu_c --> dtdp4d6dg_c + h2o_c"	0	1000	0
"ADCS"	"chor_c + gln__L_c --> glu__L_c + 4adcho_c"	0	1000	0
"ADCL"	"4adcho_c --> h_c + pyr_c + 4abz_c"	0	1000	0
"2DGULRy"	"h_c + 2dhguln_c + nadph_c --> idon__L_c + nadp_c"	0	1000	0
"DHAPT"	"pep_c + dha_c --> dhap_c + pyr_c"	0	1000	0
"EX_lac_D_e"	"lac__D_e --> "	0	1000	0
"UDPGALM"	"udpgal_c --> udpgalfur_c"	0	1000	0
"TDPDRE"	"dtdp4d6dg_c --> dtdp4d6dm_c"	0	1000	0
"TDPDRR"	"h_c + nadph_c + dtdp4d6dm_c --> nadp_c + dtdprmn_c"	0	1000	0
"UMPK"	"ump_c + atp_c <==> adp_c + udp_c"	-1000	1000	0
"RZ5PP"	"5prdmbz_c + h2o_c --> pi_c + rdmbzi_c"	0	1000	0
"DDPGALA"	"2dh3dgal6p_c <==> g3p_c + pyr_c"	-1000	1000	0
"DURIK1"	"duri_c + atp_c --> h_c + adp_c + dump_c"	0	1000	0
"G3PD6"	"glyc3p_c + mqn8_c --> dhap_c + mql8_c"	0	1000	0
"ALLTN"	"h2o_c + alltn_c --> h_c + alltt_c"	0	1000	0
"UAPGR"	"h_c + uaccg_c + nadph_c --> uamr_c + nadp_c"	0	1000	0
"UPPRT"	"ura_c + prpp_c --> ump_c + ppi_c"	0	1000	0
"NTD9"	"gmp_c + h2o_c --> pi_c + gsn_c"	0	1000	0
"CTPS2"	"atp_c + utp_c + gln__L_c + h2o_c --> (2) h_c + ctp_c + adp_c + pi_c + glu__L_c"	0	1000	0
"NTD1"	"h2o_c + dump_c --> duri_c + pi_c"	0	1000	0
"NTD7"	"h2o_c + amp_c --> pi_c + adn_c"	0	1000	0
"PAPPT3"	"ugmda_c + udcpp_c --> ump_c + uagmda_c"	0	1000	0
"UAGPT3"	"uagmda_c + uacgam_c --> h_c + uaagmda_c + udp_c"	0	1000	0
"NDPK7"	"atp_c + dcdp_c <==> adp_c + dctp_c"	-1000	1000	0
"AOBUTDs"	"h_c + 2aobut_c --> aact_c + co2_c"	0	1000	0
"GLYAT"	"accoa_c + gly_c <==> 2aobut_c + coa_c"	-1000	1000	0
"ADNUC"	"adn_c + h2o_c --> rib__D_c + ade_c"	0	1000	0
"GMHEPPA"	"h2o_c + gmhep17bp_c --> pi_c + gmhep1p_c"	0	1000	0
"S7PI"	"s7p_c --> gmhep7p_c"	0	1000	0
"TRPS3"	"3ig3p_c --> g3p_c + indole_c"	0	1000	0
"EX_ttdcea_e"	"ttdcea_e --> "	0	1000	0
"F6PA"	"f6p_c <==> g3p_c + dha_c"	-1000	1000	0
"AGMHE"	"adphep_DD_c --> adphep_LD_c"	0	1000	0
"CRNBTCT"	"bbtcoa_c + crn_c <==> gbbtn_c + crncoa_c"	-1000	1000	0
"CRNCBCT"	"crn_c + ctbtcoa_c <==> ctbt_c + crncoa_c"	-1000	1000	0
"NTD10"	"xmp_c + h2o_c --> xtsn_c + pi_c"	0	1000	0
"CRNCDH"	"crncoa_c <==> h2o_c + ctbtcoa_c"	-1000	1000	0
"GMHEPAT"	"h_c + atp_c + gmhep1p_c --> ppi_c + adphep_DD_c"	0	1000	0
"EX_h2s_e"	"h2s_e --> "	0	1000	0
"ADPT"	"prpp_c + ade_c --> ppi_c + amp_c"	0	1000	0
"EX_gthrd_e"	"gthrd_e --> "	0	1000	0
"IDOND"	"h_c + 5dglcn_c + nadh_c <==> idon__L_c + nad_c"	-1000	1000	0
"IDOND2"	"h_c + 5dglcn_c + nadph_c --> idon__L_c + nadp_c"	0	1000	0
"FADRx"	"h_c + nadh_c + fad_c --> fadh2_c + nad_c"	0	1000	0
"GTPDPK"	"atp_c + gtp_c --> h_c + gdptp_c + amp_c"	0	1000	0
"NADN"	"nad_c + h2o_c --> h_c + adprib_c + ncam_c"	0	1000	0
"GLYCLTDx"	"h_c + glx_c + nadh_c --> glyclt_c + nad_c"	0	1000	0
"ADK1"	"atp_c + amp_c <==> (2) adp_c"	-1000	1000	0
"NDPK2"	"atp_c + udp_c <==> adp_c + utp_c"	-1000	1000	0
"NDPK3"	"atp_c + cdp_c <==> ctp_c + adp_c"	-1000	1000	0
"HPYRRy"	"h_c + hpyr_c + nadph_c --> nadp_c + glyc__R_c"	0	1000	0
"NDPK4"	"atp_c + dtdp_c <==> adp_c + dttp_c"	-1000	1000	0
"ACODA"	"acorn_c + h2o_c --> ac_c + orn_c"	0	1000	0
"ADA"	"h_c + adn_c + h2o_c --> nh4_c + ins_c"	0	1000	0
"DADA"	"h_c + dad_2_c + h2o_c --> nh4_c + din_c"	0	1000	0
"ADD"	"h_c + h2o_c + ade_c --> nh4_c + hxan_c"	0	1000	0
"FCLT"	"ppp9_c + fe2_c --> (2) h_c + pheme_c"	0	1000	0
"HBZOPT"	"4hbz_c + octdp_c --> ppi_c + 3ophb_c"	0	1000	0
"PNTK"	"pnto__R_c + atp_c --> h_c + adp_c + 4ppan_c"	0	1000	0
"ADSS"	"asp__L_c + imp_c + gtp_c --> (2) h_c + pi_c + gdp_c + dcamp_c"	0	1000	0
"AGDC"	"acgam6p_c + h2o_c --> ac_c + gam6p_c"	0	1000	0
"OCTDPS"	"frdp_c + (5) ipdp_c --> octdp_c + (5) ppi_c"	0	1000	0
"ASNN"	"h2o_c + asn__L_c --> asp__L_c + nh4_c"	0	1000	0
"DPCOAK"	"atp_c + dpcoa_c --> h_c + adp_c + coa_c"	0	1000	0
"HETZK"	"atp_c + 4mhetz_c --> h_c + adp_c + 4mpetz_c"	0	1000	0
"ASNS2"	"asp__L_c + nh4_c + atp_c --> h_c + ppi_c + amp_c + asn__L_c"	0	1000	0
"ASPCT"	"asp__L_c + cbp_c --> h_c + pi_c + cbasp_c"	0	1000	0
"KDOPS"	"pep_c + h2o_c + ara5p_c --> pi_c + kdo8p_c"	0	1000	0
"KDOPP"	"h2o_c + kdo8p_c --> pi_c + kdo_c"	0	1000	0
"DMPPS"	"h_c + h2mb4p_c + nadh_c --> nad_c + h2o_c + dmpp_c"	0	1000	0
"EX_26dap_M_e"	"26dap__M_e --> "	0	1000	0
"MCOATA"	"malcoa_c + ACP_c <==> malACP_c + coa_c"	-1000	1000	0
"IPDPS"	"h_c + h2mb4p_c + nadh_c --> nad_c + h2o_c + ipdp_c"	0	1000	0
"AST"	"arg__L_c + succoa_c --> h_c + sucarg_c + coa_c"	0	1000	0
"SGDS"	"h2o_c + sucglu_c --> glu__L_c + succ_c"	0	1000	0
"CYNTAH"	"(3) h_c + cynt_c + hco3_c --> nh4_c + (2) co2_c"	0	1000	0
"DAPE"	"26dap_LL_c <==> 26dap__M_c"	-1000	1000	0
"DHDPRy"	"h_c + nadph_c + 23dhdp_c --> nadp_c + thdp_c"	0	1000	0
"EX_acnam_e"	"acnam_e --> "	0	1000	0
"HSK"	"hom__L_c + atp_c --> h_c + adp_c + phom_c"	0	1000	0
"SDPTA"	"akg_c + sl26da_c <==> glu__L_c + sl2a6o_c"	-1000	1000	0
"GSPMDA"	"gtspmd_c + h2o_c --> gthrd_c + spmd_c"	0	1000	0
"GSPMDS"	"gthrd_c + atp_c + spmd_c --> h_c + adp_c + pi_c + gtspmd_c"	0	1000	0
"GUAD"	"h_c + gua_c + h2o_c --> xan_c + nh4_c"	0	1000	0
"THRS"	"h2o_c + phom_c --> thr__L_c + pi_c"	0	1000	0
"EX_amp_e"	"amp_e --> "	0	1000	0
"HSST"	"hom__L_c + succoa_c --> suchms_c + coa_c"	0	1000	0
"PPNDH"	"h_c + pphn_c --> phpyr_c + h2o_c + co2_c"	0	1000	0
"TMAOR1"	"h_c + tmao_c + mql8_c --> tma_c + h2o_c + mqn8_c"	0	1000	0
"TMAOR2"	"h_c + tmao_c + 2dmmql8_c --> 2dmmq8_c + tma_c + h2o_c"	0	1000	0
"DGK1"	"atp_c + dgmp_c <==> adp_c + dgdp_c"	-1000	1000	0
"DTMPK"	"atp_c + dtmp_c <==> adp_c + dtdp_c"	-1000	1000	0
"NDPK1"	"atp_c + gdp_c <==> adp_c + gtp_c"	-1000	1000	0
"TRDR"	"h_c + trdox_c + nadph_c --> nadp_c + trdrd_c"	0	1000	0
"DDPA"	"pep_c + e4p_c + h2o_c --> pi_c + 2dda7p_c"	0	1000	0
"NMNDA"	"h2o_c + nmn_c --> nh4_c + nicrnt_c"	0	1000	0
"NNAM"	"ncam_c + h2o_c --> nh4_c + nac_c"	0	1000	0
"P5CD"	"nad_c + 1pyr5c_c + (2) h2o_c --> h_c + glu__L_c + nadh_c"	0	1000	0
"PGMT"	"g1p_c <==> g6p_c"	-1000	1000	0
"FRUK"	"f1p_c + atp_c --> h_c + adp_c + fdp_c"	0	1000	0
"SPMDAT1"	"accoa_c + spmd_c --> h_c + N1aspmd_c + coa_c"	0	1000	0
"RHCCE"	"rhcys_c --> dhptd_c + hcys__L_c"	0	1000	0
"EX_dha_e"	"dha_e --> "	0	1000	0
"KG6PDC"	"3dhgulnp_c + h_c --> xu5p__L_c + co2_c"	0	1000	0
"SPMDAT2"	"accoa_c + spmd_c --> h_c + n8aspmd_c + coa_c"	0	1000	0
"TDPADGAT"	"accoa_c + dtdp4addg_c --> h_c + dtdp4aaddg_c + coa_c"	0	1000	0
"MALS"	"accoa_c + glx_c + h2o_c --> h_c + mal__L_c + coa_c"	0	1000	0
"X5PL3E"	"xu5p__L_c --> ru5p__L_c"	0	1000	0
"DOGULNR"	"h_c + 23doguln_c + nadh_c --> nad_c + 3dhguln_c"	0	1000	0
"TRE6PP"	"h2o_c + tre6p_c --> pi_c + tre_c"	0	1000	0
"EX_fuc_L_e"	"fuc__L_e --> "	0	1000	0
"EX_met_D_e"	"met__D_e --> "	0	1000	0
"EX_tartr_L_e"	"tartr__L_e --> "	0	1000	0
"BETALDHx"	"nad_c + h2o_c + betald_c --> (2) h_c + glyb_c + nadh_c"	0	1000	0
"BETALDHy"	"nadp_c + h2o_c + betald_c --> (2) h_c + glyb_c + nadph_c"	0	1000	0
"MLTG3"	"maltpt_c + h2o_c --> glc__D_c + maltttr_c"	0	1000	0
"EX_taur_e"	"taur_e --> "	0	1000	0
"EX_maltpt_e"	"maltpt_e --> "	0	1000	0
"EX_glyald_e"	"glyald_e --> "	0	1000	0
"EX_glcur_e"	"glcur_e --> "	0	1000	0
"ADPRDP"	"adprib_c + h2o_c --> r5p_c + (2) h_c + amp_c"	0	1000	0
"DKGLCNR1"	"h_c + 25dkglcn_c + nadph_c --> 2dhguln_c + nadp_c"	0	1000	0
"NADTRHD"	"nad_c + nadph_c --> nadp_c + nadh_c"	0	1000	0
"AACPS2"	"atp_c + ttdcea_c + ACP_c --> tdeACP_c + ppi_c + amp_c"	0	1000	0
"FMNRx2"	"h_c + fmn_c + nadph_c --> nadp_c + fmnh2_c"	0	1000	0
"ACPS1"	"apoACP_c + coa_c --> h_c + pap_c + ACP_c"	0	1000	0
"EX_nmn_e"	"nmn_e --> "	0	1000	0
"EX_urea_e"	"urea_e --> "	0	1000	0
"ARAI"	"arab__L_c <==> rbl__L_c"	-1000	1000	0
"M1PD"	"nad_c + mnl1p_c <==> h_c + f6p_c + nadh_c"	-1000	1000	0
"G3PD2"	"glyc3p_c + nadp_c <==> dhap_c + h_c + nadph_c"	-1000	1000	0
"GALS3"	"h2o_c + melib_c --> glc__D_c + gal_c"	0	1000	0
"FCI"	"fuc__L_c <==> fcl__L_c"	-1000	1000	0
"FCLK"	"atp_c + fcl__L_c --> h_c + adp_c + fc1p_c"	0	1000	0
"FCLPA"	"fc1p_c <==> dhap_c + lald__L_c"	-1000	1000	0
"GMPS2"	"atp_c + gln__L_c + xmp_c + h2o_c --> (2) h_c + ppi_c + glu__L_c + gmp_c + amp_c"	0	1000	0
"AMPN"	"h2o_c + amp_c --> r5p_c + ade_c"	0	1000	0
"GSNK"	"atp_c + gsn_c --> h_c + adp_c + gmp_c"	0	1000	0
"ACCOAL"	"atp_c + ppa_c + coa_c --> adp_c + pi_c + ppcoa_c"	0	1000	0
"GALUi"	"h_c + utp_c + g1p_c --> ppi_c + udpg_c"	0	1000	0
"AACPS3"	"atp_c + hdca_c + ACP_c --> ppi_c + amp_c + palmACP_c"	0	1000	0
"U23GAAT"	"u3hga_c + 3hmrsACP_c --> h_c + u23ga_c + ACP_c"	0	1000	0
"EX_f6p_e"	"f6p_e --> "	0	1000	0
"UAAGDS"	"atp_c + 26dap__M_c + uamag_c --> h_c + adp_c + pi_c + ugmd_c"	0	1000	0
"AACPS4"	"hdcea_c + atp_c + ACP_c --> hdeACP_c + ppi_c + amp_c"	0	1000	0
"UAMAS"	"uamr_c + atp_c + ala__L_c --> h_c + adp_c + pi_c + uama_c"	0	1000	0
"UAMAGS"	"atp_c + uama_c + glu__D_c --> h_c + adp_c + pi_c + uamag_c"	0	1000	0
"UGLYCH"	"(2) h_c + h2o_c + urdglyc_c --> glx_c + (2) nh4_c + co2_c"	0	1000	0
"NTPP3"	"dctp_c + h2o_c --> h_c + ppi_c + dcmp_c"	0	1000	0
"NTPP6"	"atp_c + h2o_c --> h_c + ppi_c + amp_c"	0	1000	0
"NTPP7"	"dttp_c + h2o_c --> h_c + dtmp_c + ppi_c"	0	1000	0
"OP4ENH"	"h2o_c + op4en_c --> 4h2opntn_c"	0	1000	0
"EX_rmn_e"	"rmn_e --> "	0	1000	0
"HOPNTAL"	"4h2opntn_c --> pyr_c + acald_c"	0	1000	0
"NTPP8"	"utp_c + h2o_c --> h_c + ump_c + ppi_c"	0	1000	0
"P5CR"	"(2) h_c + 1pyr5c_c + nadph_c --> nadp_c + pro__L_c"	0	1000	0
"CYANST"	"cyan_c + tsul_c --> tcynt_c + h_c + so3_c"	0	1000	0
"EX_ttdca_e"	"ttdca_e --> "	0	1000	0
"DHPPDA2"	"h_c + h2o_c + 25drapp_c --> 5apru_c + nh4_c"	0	1000	0
"3HPPPNH"	"h_c + o2_c + 3hpppn_c + nadh_c --> dhpppn_c + nad_c + h2o_c"	0	1000	0
"G5SADs"	"glu5sa_c --> h_c + 1pyr5c_c + h2o_c"	0	1000	0
"GMAND"	"gdpmann_c --> h2o_c + gdpddman_c"	0	1000	0
"PPCSCT"	"ppcoa_c + succ_c --> ppa_c + succoa_c"	0	1000	0
"CYTD"	"h_c + cytd_c + h2o_c --> nh4_c + uri_c"	0	1000	0
"AKGDH"	"akg_c + nad_c + coa_c --> nadh_c + co2_c + succoa_c"	0	1000	0
"HPYRRx"	"h_c + hpyr_c + nadh_c --> nad_c + glyc__R_c"	0	1000	0
"GLYCDx"	"nad_c + glyc_c --> h_c + dha_c + nadh_c"	0	1000	0
"ASP1DC"	"h_c + asp__L_c --> ala_B_c + co2_c"	0	1000	0
"UGMDDS"	"atp_c + ugmd_c + alaala_c --> h_c + adp_c + pi_c + ugmda_c"	0	1000	0
"DCYTD"	"h_c + dcyt_c + h2o_c --> duri_c + nh4_c"	0	1000	0
"DBTS"	"atp_c + dann_c + co2_c --> (3) h_c + adp_c + pi_c + dtbt_c"	0	1000	0
"DCTPD"	"h_c + dctp_c + h2o_c --> dutp_c + nh4_c"	0	1000	0
"UHGADA"	"u3aga_c + h2o_c --> ac_c + u3hga_c"	0	1000	0
"AMANK"	"atp_c + acmana_c --> h_c + adp_c + acmanap_c"	0	1000	0
"UAGAAT"	"uacgam_c + 3hmrsACP_c <==> u3aga_c + ACP_c"	-1000	1000	0
"ATPPRT"	"atp_c + prpp_c --> prbatp_c + ppi_c"	0	1000	0
"HISTD"	"(2) nad_c + h2o_c + histd_c --> (3) h_c + his__L_c + (2) nadh_c"	0	1000	0
"DHDPS"	"aspsa_c + pyr_c --> h_c + (2) h2o_c + 23dhdp_c"	0	1000	0
"G1PACT"	"gam1p_c + accoa_c --> h_c + acgam1p_c + coa_c"	0	1000	0
"GART"	"atp_c + for_c + gar_c --> h_c + adp_c + pi_c + fgam_c"	0	1000	0
"CSND"	"h_c + h2o_c + csn_c --> nh4_c + ura_c"	0	1000	0
"GF6PTA"	"gln__L_c + f6p_c --> glu__L_c + gam6p_c"	0	1000	0
"IGPDH"	"eig3p_c --> imacp_c + h2o_c"	0	1000	0
"EX_glyclt_e"	"glyclt_e --> "	0	1000	0
"PRPPS"	"r5p_c + atp_c <==> h_c + prpp_c + amp_c"	-1000	1000	0
"H2SO"	"(2) o2_c + h2s_c --> (2) h_c + so4_c"	0	1000	0
"GLUCYS"	"cys__L_c + atp_c + glu__L_c --> h_c + adp_c + pi_c + glucys_c"	0	1000	0
"PRATPP"	"prbatp_c + h2o_c --> prbamp_c + h_c + ppi_c"	0	1000	0
"GLUN"	"gln__L_c + h2o_c --> nh4_c + glu__L_c"	0	1000	0
"PRMICI"	"prfp_c <==> prlp_c"	-1000	1000	0
"GLUPRT"	"gln__L_c + h2o_c + prpp_c --> ppi_c + glu__L_c + pram_c"	0	1000	0
"EX_g6p_e"	"g6p_e --> "	0	1000	0
"GMPR"	"(2) h_c + gmp_c + nadph_c --> imp_c + nh4_c + nadp_c"	0	1000	0
"SERAT"	"ser__L_c + accoa_c <==> acser_c + coa_c"	-1000	1000	0
"CYSS"	"h2s_c + acser_c --> ac_c + h_c + cys__L_c"	0	1000	0
"NADS1"	"nh4_c + atp_c + dnad_c --> h_c + nad_c + ppi_c + amp_c"	0	1000	0
"BPNT"	"pap_c + h2o_c --> pi_c + amp_c"	0	1000	0
"EX_2ddglcn_e"	"2ddglcn_e --> "	0	1000	0
"PAPSR"	"paps_c + trdrd_c --> (2) h_c + so3_c + trdox_c + pap_c"	0	1000	0
"ASPK"	"asp__L_c + atp_c <==> adp_c + 4pasp_c"	-1000	1000	0
"ASAD"	"aspsa_c + pi_c + nadp_c <==> h_c + nadph_c + 4pasp_c"	-1000	1000	0
"DAPDC"	"h_c + 26dap__M_c --> lys__L_c + co2_c"	0	1000	0
"EX_mmet_e"	"mmet_e --> "	0	1000	0
"NTRIR2x"	"(5) h_c + (3) nadh_c + no2_c --> (3) nad_c + nh4_c + (2) h2o_c"	0	1000	0
"OCBT"	"cbp_c + orn_c <==> citr__L_c + h_c + pi_c"	-1000	1000	0
"GARFT"	"10fthf_c + gar_c <==> h_c + thf_c + fgam_c"	-1000	1000	0
"GPDDA1"	"g3pc_c + h2o_c --> h_c + glyc3p_c + chol_c"	0	1000	0
"GPDDA2"	"g3pe_c + h2o_c --> h_c + glyc3p_c + etha_c"	0	1000	0
"PHETA1"	"akg_c + phe__L_c <==> phpyr_c + glu__L_c"	-1000	1000	0
"PPND"	"nad_c + pphn_c --> 34hpp_c + nadh_c + co2_c"	0	1000	0
"METAT"	"met__L_c + atp_c + h2o_c --> pi_c + amet_c + ppi_c"	0	1000	0
"ASCBPL"	"ascb6p_c + h2o_c --> 3dhgulnp_c + h_c"	0	1000	0
"ACBIPGT"	"h_c + gtp_c + adocbip_c --> agdpcbi_c + ppi_c"	0	1000	0
"TRPS1"	"ser__L_c + 3ig3p_c --> g3p_c + trp__L_c + h2o_c"	0	1000	0
"PRAMPC"	"prbamp_c + h2o_c --> prfp_c"	0	1000	0
"ADOCBLS"	"agdpcbi_c + rdmbzi_c --> adocbl_c + h_c + gmp_c"	0	1000	0
"EX_galct_D_e"	"galct__D_e --> "	0	1000	0
"ADOCBIK"	"atp_c + adocbi_c --> h_c + adp_c + adocbip_c"	0	1000	0
"TMPK"	"atp_c + thmmp_c --> thmpp_c + adp_c"	0	1000	0
"HPPPNDO"	"dhpppn_c + o2_c --> h_c + hkndd_c"	0	1000	0
"MCITL2"	"micit_c <==> succ_c + pyr_c"	-1000	1000	0
"DXYLK"	"dxyl_c + atp_c --> h_c + adp_c + dxyl5p_c"	0	1000	0
"MDH3"	"mal__L_c + mqn8_c --> mql8_c + oaa_c"	0	1000	0
"SOTA"	"akg_c + sucorn_c --> sucgsa_c + glu__L_c"	0	1000	0
"DHCINDO"	"o2_c + dhcinnm_c --> h_c + hkntd_c"	0	1000	0
"SGSAD"	"sucgsa_c + nad_c + h2o_c --> (2) h_c + sucglu_c + nadh_c"	0	1000	0
"HKNDDH"	"h2o_c + hkndd_c --> h_c + succ_c + op4en_c"	0	1000	0
"EX_idon_L_e"	"idon__L_e --> "	0	1000	0
"HKNTDH"	"hkntd_c + h2o_c --> h_c + fum_c + op4en_c"	0	1000	0
"GLYCK2"	"atp_c + glyc__R_c --> 2pg_c + h_c + adp_c"	0	1000	0
"PTA2"	"pi_c + ppcoa_c --> ppap_c + coa_c"	0	1000	0
"MDH2"	"mal__L_c + q8_c --> q8h2_c + oaa_c"	0	1000	0
"EX_indole_e"	"indole_e --> "	0	1000	0
"ACOTA"	"akg_c + acorn_c <==> acg5sa_c + glu__L_c"	-1000	1000	0
"GPDDA5"	"h2o_c + g3pi_c --> h_c + glyc3p_c + inost_c"	0	1000	0
"PDX5PS"	"nad_c + phthr_c + dxyl5p_c --> h_c + pi_c + pdx5p_c + (2) h2o_c + nadh_c + co2_c"	0	1000	0
"PPBNGS"	"(2) 5aop_c --> h_c + (2) h2o_c + ppbng_c"	0	1000	0
"ENTCS"	"(3) 23dhba_c + (3) seramp_c --> (9) h_c + (6) amp_c + enter_c"	0	1000	0
"SULR"	"(5) h_c + so3_c + (3) nadph_c --> h2s_c + (3) nadp_c + (3) h2o_c"	0	1000	0
"MANPGH"	"man6pglyc_c + h2o_c --> glyc__R_c + man6p_c"	0	1000	0
"URDGLYCD"	"nad_c + urdglyc_c --> h_c + nadh_c + oxur_c"	0	1000	0
"CBMKr"	"nh4_c + atp_c + co2_c <==> (2) h_c + adp_c + cbp_c"	-1000	1000	0
"PPNCL2"	"ctp_c + cys__L_c + 4ppan_c --> h_c + ppi_c + cmp_c + 4ppcys_c"	0	1000	0
"PRAGSr"	"atp_c + gly_c + pram_c <==> h_c + adp_c + pi_c + gar_c"	-1000	1000	0
"PRFGS"	"atp_c + gln__L_c + h2o_c + fgam_c --> fpram_c + h_c + adp_c + pi_c + glu__L_c"	0	1000	0
"AMANAPEr"	"acmanap_c <==> acgam6p_c"	-1000	1000	0
"EX_3hcinnm_e"	"3hcinnm_e --> "	0	1000	0
"ACM6PH"	"acmum6p_c + h2o_c --> acgam6p_c + lac__D_c"	0	1000	0
"NNATr"	"h_c + atp_c + nicrnt_c <==> ppi_c + dnad_c"	-1000	1000	0
"CYTDH"	"cytd_c + h2o_c --> rib__D_c + csn_c"	0	1000	0
"EX_acac_e"	"acac_e --> "	0	1000	0
"ETHAAL"	"etha_c --> nh4_c + acald_c"	0	1000	0
"MAN1PT2"	"h_c + man1p_c + gdp_c --> pi_c + gdpmann_c"	0	1000	0
"PSERT"	"glu__L_c + 3php_c --> akg_c + pser__L_c"	0	1000	0
"AP4AH"	"h2o_c + ap4a_c --> (2) h_c + (2) adp_c"	0	1000	0
"EX_acmana_e"	"acmana_e --> "	0	1000	0
"AP5AH"	"h2o_c + ap5a_c --> (2) h_c + adp_c + atp_c"	0	1000	0
"ADNCYC"	"atp_c --> ppi_c + camp_c"	0	1000	0
"AIRC2"	"air_c + atp_c + hco3_c --> h_c + adp_c + pi_c + 5caiz_c"	0	1000	0
"GAPD"	"nad_c + g3p_c + pi_c <==> 13dpg_c + h_c + nadh_c"	-1000	1000	0
"MI1PP"	"mi1p__D_c + h2o_c --> pi_c + inost_c"	0	1000	0
"EX_galur_e"	"galur_e --> "	0	1000	0
"MCITS"	"ppcoa_c + h2o_c + oaa_c --> h_c + 2mcit_c + coa_c"	0	1000	0
"PPAKr"	"ppap_c + adp_c <==> atp_c + ppa_c"	-1000	1000	0
"HEX1"	"glc__D_c + atp_c --> h_c + adp_c + g6p_c"	0	1000	0
"GND"	"6pgc_c + nadp_c --> ru5p__D_c + nadph_c + co2_c"	0	1000	0
"TAUDO"	"akg_c + o2_c + taur_c --> h_c + so3_c + aacald_c + succ_c + co2_c"	0	1000	0
"DM_amob_c"	"amob_c --> "	0	1000	0
"NTP3"	"h2o_c + gtp_c --> h_c + pi_c + gdp_c"	0	1000	0
"PPM2"	"2dr1p_c <==> 2dr5p_c"	-1000	1000	0
"MOAT2"	"ckdo_c + kdolipid4_c --> h_c + cmp_c + kdo2lipid4_c"	0	1000	0
"EX_adn_e"	"adn_e --> "	0	1000	0
"EX_ins_e"	"ins_e --> "	0	1000	0
"G6PDH2r"	"nadp_c + g6p_c <==> h_c + 6pgl_c + nadph_c"	-1000	1000	0
"ME2"	"mal__L_c + nadp_c --> nadph_c + pyr_c + co2_c"	0	1000	0
"ARGSL"	"argsuc_c <==> arg__L_c + fum_c"	-1000	1000	0
"CBPS"	"(2) atp_c + gln__L_c + hco3_c + h2o_c --> (2) h_c + (2) adp_c + pi_c + glu__L_c + cbp_c"	0	1000	0
"GLU5K"	"atp_c + glu__L_c --> adp_c + glu5p_c"	0	1000	0
"IPPS"	"accoa_c + 3mob_c + h2o_c --> h_c + 3c3hmp_c + coa_c"	0	1000	0
"EX_mg2_e"	"mg2_e <==> "	-1000	1000	0
"ACOATA"	"accoa_c + ACP_c <==> acACP_c + coa_c"	-1000	1000	0
"NADH5"	"h_c + q8_c + nadh_c --> nad_c + q8h2_c"	0	1000	0
"MOHMT"	"3mob_c + mlthf_c + h2o_c --> thf_c + 2dhp_c"	0	1000	0
"EX_glyc3p_e"	"glyc3p_e --> "	0	1000	0
"MLTG2"	"maltttr_c + h2o_c --> glc__D_c + malttr_c"	0	1000	0
"EX_but_e"	"but_e --> "	0	1000	0
"MLTG1"	"h2o_c + malttr_c --> malt_c + glc__D_c"	0	1000	0
"AMALT3"	"malt_c + maltpt_c --> glc__D_c + malthx_c"	0	1000	0
"MLTP3"	"pi_c + malthp_c <==> g1p_c + malthx_c"	-1000	1000	0
"EX_lcts_e"	"lcts_e --> "	0	1000	0
"EX_ocdca_e"	"ocdca_e --> "	0	1000	0
"EX_cbl1_e"	"cbl1_e --> "	0	1000	0
"SPODM"	"(2) h_c + (2) o2s_c --> o2_c + h2o2_c"	0	1000	0
"AHCYSNS"	"ahcys_c + h2o_c --> rhcys_c + ade_c"	0	1000	0
"ACNML"	"acnam_c --> acmana_c + pyr_c"	0	1000	0
"TMK"	"atp_c + thm_c --> h_c + adp_c + thmmp_c"	0	1000	0
"NTPP4"	"ctp_c + h2o_c --> h_c + ppi_c + cmp_c"	0	1000	0
"GMPS"	"nh4_c + atp_c + xmp_c --> (2) h_c + ppi_c + gmp_c + amp_c"	0	1000	0
"CAT"	"(2) h2o2_c --> o2_c + (2) h2o_c"	0	1000	0
"FTHFLi"	"atp_c + thf_c + for_c --> 10fthf_c + adp_c + pi_c"	0	1000	0
"EX_nac_e"	"nac_e --> "	0	1000	0
"UDPGD"	"(2) nad_c + udpg_c + h2o_c --> (3) h_c + (2) nadh_c + udpglcur_c"	0	1000	0
"SERASr"	"h_c + ser__L_c + atp_c <==> ppi_c + seramp_c"	-1000	1000	0
"GLCRD"	"glcr_c --> 5dh4dglc_c + h2o_c"	0	1000	0
"PPPNDO"	"h_c + o2_c + pppn_c + nadh_c --> nad_c + cechddd_c"	0	1000	0
"26DAHtex"	"26dap__M_e <==> 26dap__M_p"	-1000	1000	0
